,,,,
,,,,
Sum of Revenue,Column Labels,,,
Row Labels,Astoria,Hell's Kitchen,Lower Manhattan,Grand Total
Jan,"R27,314","R27,821","R26,543","R81,678"
Feb,"R25,105","R25,720","R25,320","R76,145"
Mar,"R32,835","R33,111","R32,889","R98,835"
Apr,"R39,478","R40,304","R39,159","R118,941"
May,"R52,429","R52,599","R51,700","R156,728"
Jun,"R55,083","R56,957","R54,446","R166,486"
Grand Total,"R232,244","R236,511","R230,057","R698,812"
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
